iter	RMSE
0	1.368825584
1	1.280298909
2	1.198782084
3	1.124903341
4	1.045508072
5	0.9723802366
6	0.9061609219
7	0.8445657036
8	0.7902659548
9	0.7407058014
10	0.6955710666
11	0.6545515919
12	0.6174051856
13	0.5841774076
14	0.552962066
15	0.5252036515
16	0.5006583536
17	0.4785016122
18	0.459580063
19	0.4393976894
20	0.4235435139
21	0.4089664321
22	0.3954434315
23	0.3819271598
24	0.3696463747
25	0.3606687273
26	0.3504277837
27	0.3426946463
28	0.3355145044
29	0.3287309419
30	0.3219571098
31	0.3165835225
32	0.3114897045
33	0.3065820238
34	0.3021603942
35	0.2983287902
36	0.2947624021
37	0.2914520853
38	0.2881972621
39	0.2836888239
40	0.2807206035
41	0.2781383336
42	0.2759194565
43	0.2730345262
44	0.2705342466
45	0.267607059
46	0.2657928096
47	0.2641476061
48	0.2628181405
49	0.2609586039
50	0.2595780951
51	0.2584312349
52	0.25730402
53	0.2563696188
54	0.2550372419
55	0.2538338755
